reservation_date,service_name,final_price,rating,review_summary
2026-09-07,두피 클리닉,90000,5,상담부터 시술까지 차분하게 설명해 주셔서 편하게 맡길 수 있었어요.
2026-09-06,두피 클리닉,90000,5,원하던 분위기를 정확히 이해해 주셨고 손질도 정말 편해졌어요.
2026-09-05,두피 클리닉,90000,4,조용한 공간에서 꼼꼼하게 케어받아 기분 좋게 쉬고 왔습니다.
2026-09-04,두피 클리닉,90000,5,모발 상태를 세심하게 봐주시고 홈케어 방법도 알려주셨어요.
2026-09-03,두피 클리닉,90000,5,자연스러운 컬러가 마음에 들어요. 다음에도 다시 예약할게요.
2026-09-02,두피 클리닉,90000,4,시술 과정이 편안했고 원하는 길이와 질감으로 잘 정리됐어요.
2026-09-01,두피 클리닉,90000,5,얼굴형에 맞는 스타일을 추천해 주셔서 만족도가 높았습니다.
2026-08-31,두피 클리닉,90000,5,예약 시간에 맞춰 바로 진행돼서 여유롭게 시술받았어요.
2026-08-30,두피 클리닉,90000,4,손상된 부분을 고려해서 진행해 주셔서 머릿결이 한결 부드러워졌어요.
2026-08-29,두피 클리닉,90000,5,디자이너님이 처음부터 끝까지 직접 봐주셔서 믿음이 갔어요.
2026-08-28,두피 클리닉,90000,5,과하지 않으면서 분위기 있는 스타일이라 매일 만족하고 있어요.
2026-08-27,두피 클리닉,90000,4,상담 내용을 꼼꼼히 반영해 주셔서 원하는 느낌과 잘 맞았습니다.
2026-08-26,두피 클리닉,90000,5,샴푸부터 마무리까지 세심해서 프라이빗한 케어를 받은 느낌이에요.
2026-08-25,두피 클리닉,90000,5,스타일 유지 방법을 쉽게 알려주셔서 집에서도 손질하기 좋아요.
2026-08-24,두피 클리닉,90000,4,부담스럽지 않은 추천 덕분에 새로운 스타일에 도전할 수 있었어요.
2026-08-23,두피 클리닉,90000,5,공간도 깔끔하고 시술 결과도 기대 이상이라 만족합니다.
2026-08-22,두피 클리닉,90000,5,모발 고민을 잘 들어주시고 딱 필요한 케어만 안내해 주셨어요.
2026-08-21,두피 클리닉,90000,4,편안한 분위기에서 충분히 상담하고 시술받을 수 있어 좋았습니다.
2026-08-20,두피 클리닉,90000,5,디테일하게 다듬어 주셔서 시간이 지나도 스타일이 예쁘게 유지돼요.
2026-08-19,두피 클리닉,90000,5,다음 예약까지 기다려질 만큼 결과와 응대 모두 만족스러웠어요.
